runNum,gen,nevals,F.avg,F.max,F.min,F.nevals,F.std,S.avg,S.max,S.min,S.nevals,S.std
1,76,573,0.12083,9.32,0.02,573,0.4669,107.487,248,1,573,35.8925
1,77,577,0.13387,9.32,0.02,577,0.539264,108.114,248,1,577,35.4648
1,78,533,0.12261,9.32,0.02,533,0.503861,110.272,247,1,533,36.9367
1,79,545,0.0948,4.34,0.02,545,0.345792,112.834,252,23,545,38.119
1,80,556,0.09353,5.78,0.02,556,0.345138,112.967,249,1,556,36.6493
1,81,573,0.12605,9.25,0.02,573,0.560567,114.39,245,1,573,38.5266
1,82,561,0.11994,5.78,0.02,561,0.417987,115.217,253,11,561,37.0607
1,83,539,0.09624,3.26,0.02,539,0.329074,118.998,253,14,539,38.6473
1,84,574,0.09733,5.78,0.02,574,0.381637,121.273,264,4,574,39.7876
1,85,523,0.11814,8.21,0.02,523,0.513423,124.268,281,1,523,40.5187
1,86,571,0.1184,5.78,0.02,571,0.432073,124.733,264,4,571,42.0625
1,87,534,0.11097,8.21,0.02,534,0.478082,127.708,264,23,534,40.4081
1,88,573,0.09115,3.26,0.02,573,0.317177,127.899,264,1,573,40.7302
1,89,530,0.11794,9.32,0.02,530,0.528989,128.945,264,1,530,40.7735
1,90,545,0.08123,5.78,0.02,545,0.32969,130.172,254,1,545,42.2804
1,91,546,0.09758,4.34,0.02,546,0.355548,129.366,254,20,546,41.0135
1,92,533,0.08636,4.34,0.02,533,0.353764,132.377,259,23,533,41.804
1,93,568,0.10987,8.21,0.02,568,0.510307,132.274,263,1,568,43.7012
1,94,571,0.09866,4.34,0.02,571,0.355406,133.635,276,1,571,44.3486
1,95,553,0.12504,8.21,0.02,553,0.537132,134.183,297,11,553,43.1256
1,96,524,0.10628,5.78,0.02,524,0.415864,135.956,293,27,524,45.7539
1,97,554,0.11149,4.34,0.02,554,0.404726,139.828,310,21,554,49.7715
1,98,566,0.10858,5.78,0.02,566,0.451487,141.799,300,16,566,47.9243
1,99,589,0.10774,9.32,0.02,589,0.481206,144.572,305,4,589,47.1919
1,100,557,0.08801,4.34,0.02,557,0.321069,143.83,338,1,557,49.4903
1,101,562,0.09846,3.26,0.02,562,0.362426,146.025,338,1,562,50.2581
1,102,555,0.10481,9.77,0.02,555,0.468646,147.208,330,1,555,51.4828
1,103,575,0.11404,8.21,0.02,575,0.511664,146.455,330,1,575,53.1276
1,104,567,0.1007,4.34,0.02,567,0.371873,146.451,309,1,567,51.3133
1,105,586,0.07568,3.26,0.02,586,0.252983,147.448,310,4,586,51.0875
1,106,514,0.10854,9.32,0.02,514,0.576797,145.49,306,1,514,51.4387
1,107,543,0.07552,3.26,0.02,543,0.291695,145.992,306,21,543,50.8566
1,108,513,0.09039,5.78,0.02,513,0.366011,147.248,306,4,513,53.6096
1,109,545,0.09778,4.6,0.02,545,0.358102,144.919,306,12,545,54.2878
1,110,548,0.08437,5.78,0.02,548,0.334,148.64,312,12,548,58.752
1,111,543,0.09002,5.78,0.02,543,0.400589,151.524,326,21,543,58.3286
1,112,531,0.09598,9.32,0.02,531,0.418832,151.918,326,4,531,58.4182
1,113,572,0.07514,9.32,0.02,572,0.388414,152.744,326,1,572,56.1619
1,114,555,0.08321,4.6,0.02,555,0.329021,153.132,328,1,555,56.1462
1,115,539,0.09139,4.6,0.02,539,0.349418,154.146,330,1,539,58.8551
1,116,514,0.09103,9.32,0.02,514,0.481825,152.278,330,1,514,55.8099
1,117,512,0.07317,6.05,0.02,512,0.352398,151.68,364,20,512,57.0656
1,118,546,0.09319,5.78,0.02,546,0.415469,151.728,364,21,546,57.5374
1,119,552,0.10506,6.05,0.02,552,0.447916,151.242,338,11,552,56.2905
1,120,539,0.08017,5.78,0.02,539,0.331746,155.095,338,1,539,56.9867
1,121,569,0.08644,3.26,0.02,569,0.306642,156.038,338,11,569,58.2607
1,122,549,0.07867,8.21,0.02,549,0.379504,157.934,359,11,549,56.6281
1,123,568,0.09511,5.78,0.02,568,0.413223,158.343,362,11,568,55.345
1,124,570,0.0853,5.78,0.02,570,0.359649,158.178,407,19,570,54.8003
1,125,512,0.06926,4.34,0.02,512,0.284146,162.391,340,17,512,54.2255
1,126,534,0.07612,5.78,0.02,534,0.318744,164.52,342,25,534,54.0612
1,127,555,0.08334,5.78,0.02,555,0.344133,165.948,342,12,555,54.8074
1,128,556,0.07505,8.21,0.02,556,0.375182,166.675,342,21,556,52.9302
1,129,569,0.07323,5.78,0.02,569,0.31194,165.331,345,22,569,53.6079
1,130,514,0.08331,9.32,0.02,514,0.425627,165.156,345,4,514,53.8104
1,131,536,0.07126,4.18,0.02,536,0.291781,165.836,356,21,536,52.6302
1,132,562,0.08862,5.78,0.02,562,0.402023,164.25,394,12,562,57.257
1,133,536,0.09469,5.78,0.02,536,0.422017,163.251,394,19,536,57.6315
1,134,534,0.07584,3.26,0.02,534,0.269955,165.911,394,16,534,56.3328
1,135,556,0.08271,8.21,0.02,556,0.414391,166.802,356,1,556,55.8251
1,136,511,0.0828,5.78,0.02,511,0.338747,167.157,354,21,511,54.3887
1,137,558,0.07844,3.26,0.02,558,0.303335,168.693,351,4,558,52.2548
1,138,541,0.06545,4.34,0.02,541,0.253801,171.474,353,17,541,54.0346
1,139,549,0.08609,5.78,0.02,549,0.347768,170.78,330,6,549,54.336
1,140,576,0.08484,4.34,0.02,576,0.356476,173.065,322,1,576,54.1943
1,141,542,0.07042,5.78,0.02,542,0.291021,176.235,318,14,542,52.7198
1,142,548,0.09608,5.78,0.02,548,0.399763,175.873,312,17,548,51.4231
1,143,551,0.05284,2.17,0.02,551,0.193419,178.761,376,17,551,51.8625
1,144,571,0.081,5.38,0.02,571,0.334921,178.013,306,22,571,50.2959
1,145,538,0.09526,8.21,0.02,538,0.449646,177.497,310,11,538,48.6067
1,146,555,0.08613,5.78,0.02,555,0.380874,176.677,310,4,555,50.7237
1,147,560,0.07117,5.78,0.02,560,0.328618,177.999,320,20,560,51.1825
1,148,545,0.06951,8.21,0.02,545,0.36324,177.87,371,17,545,53.3759
1,149,576,0.07703,4.34,0.02,576,0.32204,177.22,319,20,576,52.7348
1,150,544,0.08588,8.21,0.02,544,0.431162,177.234,323,12,544,52.7283
1,151,528,0.08069,5.78,0.02,528,0.347254,178.212,342,1,528,50.9266
1,152,542,0.06855,5.78,0.02,542,0.321259,176.102,348,28,542,50.2819
1,153,516,0.06638,5.78,0.02,516,0.28761,174.635,348,25,516,49.9304
1,154,549,0.07216,4.34,0.02,549,0.306641,172.071,348,11,549,50.5711
1,155,549,0.0771,3.26,0.02,549,0.258331,172.288,328,17,549,51.5216
1,156,578,0.06906,5.78,0.02,578,0.285559,172.92,350,19,578,52.6733
1,157,556,0.08433,5.78,0.02,556,0.356587,175.152,350,1,556,54.1025
1,158,514,0.07389,8.21,0.02,514,0.404312,175.78,381,27,514,53.2633
1,159,541,0.08902,8.21,0.02,541,0.433961,175.237,344,19,541,53.239
1,160,555,0.07546,5.78,0.02,555,0.354718,177.13,346,19,555,51.912
1,161,585,0.06594,4.34,0.02,585,0.259223,178.394,362,20,585,52.9588
1,162,566,0.07917,4.6,0.02,566,0.343661,179.083,335,4,566,54.6515
1,163,571,0.09565,9.32,0.02,571,0.470258,181.437,343,12,571,53.5337
1,164,560,0.08291,5.78,0.02,560,0.387912,180.248,344,30,560,53.809
1,165,549,0.07034,9.32,0.02,549,0.411322,183.622,371,12,549,55.973
1,166,541,0.06735,4.34,0.02,541,0.27161,185.147,371,36,541,54.1672
1,167,543,0.09241,8.21,0.02,543,0.450043,183.996,368,17,543,55.8063
1,168,530,0.07997,8.21,0.02,530,0.42603,186.287,364,4,530,59.0382
1,169,575,0.09353,8.21,0.02,575,0.454235,188.68,378,4,575,60.0645
1,170,537,0.07369,5.78,0.02,537,0.35393,187.965,378,11,537,58.2759
1,171,496,0.08103,6.72,0.02,496,0.425926,187.197,378,25,496,57.8779
1,172,549,0.07567,4.6,0.02,549,0.317075,185.192,420,4,549,59.3338
1,173,523,0.08032,6.05,0.02,523,0.344892,186.729,423,11,523,60.2143
1,174,517,0.06518,5.78,0.02,517,0.302922,188.439,424,20,517,60.9731
1,175,584,0.07944,5.78,0.02,584,0.355654,185.763,423,21,584,62.2262
1,176,564,0.08736,8.21,0.02,564,0.418019,187.707,376,22,564,61.707
1,177,565,0.06622,8.21,0.02,565,0.333573,188.671,427,4,565,60.8318
1,178,527,0.08048,8.21, ,527,0.407174,189.863,427,43,527,60.0503
1,179,539,0.06872,5.78,0.02,539,0.321954,192.627,372,12,539,62.3768
1,180,512,0.06278,5.78,0.02,512,0.309371,194.862,407,21,512,62.3509
1,181,529,0.05344,4.34,0.02,529,0.230655,200.327,395,45,529,63.8227
1,182,555,0.06269,9.32,0.02,555,0.352788,201.635,399,1,555,65.4386
1,183,571,0.06364,4.34,0.02,571,0.286457,198.664,409,17,571,65.6933
1,184,583,0.08377,5.78,0.02,583,0.407016,198.026,409,17,583,68.2982
1,185,567,0.07112,4.6,0.02,567,0.300788,198.533,411,1,567,72.8246
1,186,560,0.06057,4.34,0.02,560,0.261709,201.563,409,22,560,72.3871
1,187,572,0.06747,8.21,0.02,572,0.42208,205.195,403,17,572,73.7467
1,188,554,0.08249,9.32,0.02,554,0.443985,207.358,428,4,554,76.6903
1,189,586,0.05714,5.78,0.02,586,0.28944,206.11,400,1,586,75.1233
1,190,573,0.06639,3.26,0.02,573,0.273949,204.937,407,27,573,74.7421
1,191,534,0.06999,5.78,0.02,534,0.307874,209.195,407,14,534,75.8786
1,192,540,0.0911,5.78,0.02,540,0.468456,208.299,413,17,540,75.1368
1,193,508,0.05527,3.26,0.02,508,0.217353,208.05,413,17,508,72.3826
1,194,555,0.06125,3.57,0.02,555,0.265216,208.07,406,4,555,73.5997
1,195,555,0.0719,4.34,0.02,555,0.307045,207.706,442,4,555,74.8395
1,196,557,0.08484,6.04,0.02,557,0.413946,207.177,397,4,557,73.6504
1,197,507,0.05723,5.78,0.02,507,0.265704,204.007,398,22,507,72.9325
1,198,547,0.08711,9.32,0.02,547,0.458062,202.687,417,1,547,74.8782
1,199,549,0.11342,8.21,0.02,549,0.552895,205.077,417,22,549,76.5948
1,200,551,0.09476,8.21,0.02,551,0.516046,205.071,445,25,551,76.7844
2,0,1000,3.88933,9.8,0.44,1000,2.91305,7.039,12,4,1000,3.46835
