gen     nevals  avg     gen     max     min     nevals  std     avg     gen     max     min     nevals  std    
0       1000    4.65173 0       10.89   0.63    1000    3.25343 7.163   0       12      4       1000    3.48489
1       530     2.8596  1       10.89   0.63    530     2.04442 7.467   1       22      1       530     3.76894
2       558     2.25564 2       10.44   0.63    558     1.80179 7.957   2       23      1       558     3.94704
3       543     2.1089  3       11.25   0.63    543     1.90017 8.874   3       31      1       543     4.36098
4       513     1.8816  4       10.8    0.63    513     1.78386 9.772   4       38      1       513     4.62774
5       513     1.81957 5       12.2    0.63    513     2.08703 10.916  5       38      1       513     4.59053
6       535     1.68997 6       12.2    0.44    535     2.22503 12.358  6       32      1       535     4.48418
7       525     1.63035 7       12.2    0.44    525     2.43145 13.184  7       34      1       525     4.5526 
8       575     1.58384 8       11.37   0.44    575     2.50941 13.732  8       37      4       575     4.51444
9       499     1.35006 9       10.89   0.44    499     2.26358 14.269  9       40      1       499     4.64464
10      567     1.46634 10      11.34   0.44    567     2.43299 14.722  10      37      1       567     4.83019
11      572     1.47123 11      12.2    0.44    572     2.41909 15.273  11      39      1       572     5.09887
12      529     1.43667 12      11.1    0.32    529     2.37438 15.974  12      39      1       529     5.4726 
13      520     1.4058  13      11.34   0.32    520     2.33567 16.136  13      39      1       520     5.41068
14      533     1.34789 14      11.37   0.32    533     2.28866 16.666  14      42      4       533     5.60682
15      497     1.1164  15      11.34   0.32    497     1.80036 17.036  15      41      1       497     5.67192
16      540     1.18849 16      11.34   0.17    540     1.93257 16.955  16      48      1       540     5.20855
17      585     1.10374 17      12.2    0.17    585     1.7719  17.54   17      48      4       585     5.38242
18      521     0.91303 18      10.44   0.17    521     1.50974 18.371  18      54      1       521     5.61599
19      569     0.83407 19      10.44   0.05    569     1.30452 18.755  19      56      1       569     5.86762
20      529     0.79487 20      10.44   0.05    529     1.29047 19.329  20      51      1       529     5.89413
21      531     0.76477 21      12.2    0.17    531     1.27996 19.949  21      55      1       531     6.06765
22      562     0.70562 22      10.44   0.05    562     1.14459 20.799  22      64      1       562     6.27444
23      523     0.70309 23      10.44   0.05    523     1.23207 22.32   23      54      4       523     6.81906
24      548     0.6769  24      9.96    0.04    548     1.17896 23.952  24      51      1       548     7.16824
25      548     0.6431  25      10.44   0.04    548     1.23392 26.111  25      59      9       548     7.98252
26      531     0.53359 26      10.44   0.04    531     0.9975  28.982  26      68      1       531     8.26968
27      586     0.62763 27      10.44   0.04    586     1.26904 31.003  27      74      1       586     8.77194
28      542     0.57464 28      10.44   0.04    542     1.28872 32.863  28      78      1       542     9.74824
29      554     0.45397 29      7.68    0.04    554     0.93103 34.954  29      77      1       554     10.0061
30      541     0.51989 30      10.44   0.04    541     1.25908 37.549  30      77      1       541     10.5043
31      601     0.52107 31      11.25   0.04    601     1.28193 39.026  31      82      4       601     9.98546
32      559     0.4448  32      10.44   0.04    559     1.23058 39.381  32      83      1       559     9.61165
33      557     0.40184 33      9.84    0.04    557     1.1405  39.484  33      87      11      557     9.31428
34      527     0.38538 34      9.83    0.04    527     1.06836 40.388  34      92      4       527     9.80915
35      585     0.31841 35      9.83    0.04    585     0.824152        41.644  35      87      1       585   9.9033
36      560     0.30676 36      9.83    0.04    560     0.913465        43.516  36      89      1       560   10.8069
37      537     0.28137 37      9.96    0.04    537     0.872446        45.02   37      99      9       537   10.7407
38      586     0.33999 38      10.44   0.04    586     0.989578        46.174  38      99      1       586   11.8785
39      534     0.3047  39      9.92    0.04    534     0.942533        47.806  39      108     1       534   12.8109
40      568     0.34532 40      10.89   0.04    568     1.0337          50.123  40      125     1       568   13.713
41      563     0.31719 41      9.83    0.04    563     1.00885         51.028  41      111     4       563   14.5013
42      586     0.29517 42      9.83    0.04    586     0.895863        52.988  42      112     4       586   14.9136
43      520     0.3084  43      9.83    0.04    520     0.955864        54.365  43      113     19      520   15.2065
44      577     0.39051 44      10.44   0.04    577     1.28891         55.626  44      120     4       577   16.7883
45      563     0.26562 45      9.83    0.04    563     0.86008         57.451  45      147     1       563   16.7178
46      548     0.31816 46      9.83    0.04    548     0.966291        58.443  46      117     1       548   17.1277
47      546     0.27864 47      9.96    0.04    546     0.971136        60.284  47      117     12      546   17.9917
48      516     0.25514 48      9.83    0.04    516     0.967639        61.769  48      119     20      516   18.3536
49      522     0.18702 49      9.84    0.04    522     0.656296        63.168  49      148     22      522   19.1571
50      513     0.26807 50      10.35   0.04    513     1.02751         64.433  50      148     20      513   19.6694
51      537     0.22198 51      7.4     0.04    537     0.751583        66.335  51      148     19      537   21.1602
52      571     0.2585  52      10.44   0.04    571     0.862109        67.973  52      148     1       571   22.0701
53      552     0.26194 53      9.83    0.04    552     0.867489        72.915  53      169     1       552   24.0298
54      557     0.22527 54      10.44   0.04    557     0.853142        74.362  54      153     1       557   24.7274
55      578     0.23426 55      9.83    0.04    578     0.877508        74.427  55      162     1       578   25.3418
56      533     0.24386 56      10.44   0.04    533     0.923203        76.733  56      170     12      533   26.6873
57      552     0.24106 57      7.4     0.04    552     0.824791        79.58   57      176     16      552   27.8779
58      552     0.22216 58      10.44   0.04    552     0.828307        81.161  58      164     1       552   28.707
59      545     0.20687 59      9.83    0.04    545     0.751263        85.077  59      255     4       545   31.7289
60      571     0.26456 60      10.44   0.04    571     0.999463        86.463  60      255     4       571   31.8385
61      569     0.18454 61      8.73    0.04    569     0.633235        88.427  61      255     6       569   31.8565
62      517     0.21005 62      9.83    0.04    517     0.845148        92.516  62      255     11      517   32.8211
63      536     0.20229 63      9.83    0.04    536     0.743708        95.166  63      225     12      536   33.8449
64      556     0.24845 64      9.83    0.04    556     0.937224        98.05   64      225     16      556   34.0121
