gen     nevals  avg     gen     max     min     nevals  std     avg     gen     max     min     nevals  std    
0       1000    4.47057 0       11.96   0.83    1000    2.77594 6.67    0       12      4       1000    3.35903
1       571     2.89935 1       9.92    0.68    571     1.72213 6.807   1       23      1       571     3.64441
2       545     2.50078 2       10.73   0.68    545     1.72478 7.109   2       23      1       545     3.9374 
3       520     2.22899 3       9.92    0.68    520     1.47482 7.473   3       26      1       520     4.19872
4       566     2.16214 4       10.73   0.29    566     1.64657 8.674   4       27      1       566     4.53031
5       514     1.88953 5       10.37   0.29    514     1.47171 10.633  5       34      1       514     4.87199
6       526     1.74352 6       10.73   0.29    526     1.64574 12.597  6       31      1       526     4.71048
7       535     1.53238 7       11.96   0.29    535     1.58037 13.672  7       34      1       535     4.36628
8       527     1.35935 8       9.56    0.25    527     1.36453 14.49   8       34      1       527     4.42401
9       547     1.29274 9       10.04   0.24    547     1.37151 15.393  9       32      1       547     4.82541
10      567     1.17413 10      10.28   0.24    567     1.38532 16.481  10      36      1       567     5.30939
11      578     1.12501 11      9.56    0.24    578     1.40823 18.401  11      43      1       578     5.99835
12      531     0.93553 12      9.56    0.2     531     1.28943 20.478  12      48      1       531     5.97072
13      553     0.87735 13      10.51   0.2     553     1.26405 21.597  13      48      4       553     6.093  
14      508     0.76408 14      9.56    0.2     508     1.13364 22.659  14      45      1       508     6.40396
15      557     0.70857 15      9.56    0.2     557     1.08203 23.839  15      53      1       557     6.76913
16      516     0.73435 16      9.56    0.15    516     1.2244  25.061  16      52      1       516     7.51687
17      546     0.63762 17      9.56    0.15    546     0.963023        27.281  17      68      4       546   7.84997
18      528     0.61852 18      9.56    0.15    528     1.03263         29.178  18      68      1       528   8.64617
19      497     0.57846 19      9.53    0.15    497     1.00013         31.546  19      74      4       497   9.77486
20      580     0.63411 20      9.56    0.15    580     1.16136         35.307  20      77      1       580   10.5896
21      548     0.56623 21      9.56    0.15    548     1.15044         39.178  21      94      1       548   10.968
22      523     0.46125 22      9.44    0.15    523     0.887228        43.339  22      112     1       523   11.2074
23      566     0.42411 23      7.19    0.14    566     0.789502        45.887  23      117     1       566   11.7188
24      560     0.46342 24      9.44    0.15    560     0.963322        48.851  24      117     1       560   12.1094
25      536     0.48187 25      9.56    0.15    536     1.05471         51.13   25      117     1       536   13.5875
26      524     0.3778  26      9.44    0.15    524     0.758976        52.493  26      113     18      524   13.6497
27      546     0.39585 27      9.56    0.15    546     0.897233        53.68   27      115     1       546   15.2113
28      533     0.41803 28      7.19    0.15    533     0.836081        54.554  28      115     1       533   15.4768
29      564     0.40397 29      7.19    0.15    564     0.832788        56.605  29      134     1       564   16.9046
30      563     0.41516 30      9.44    0.15    563     0.91273         58.1    30      142     8       563   17.4036
31      570     0.38365 31      7.19    0.15    570     0.733404        58.562  31      124     1       570   17.7325
32      520     0.39553 32      9.56    0.15    520     0.869556        59.574  32      126     1       520   17.295
33      546     0.38244 33      9.44    0.15    546     0.799537        61.032  33      126     1       546   17.1851
34      568     0.39082 34      9.56    0.15    568     0.880707        61.757  34      126     1       568   17.5742
35      575     0.38315 35      9.56    0.15    575     0.872105        62.198  35      130     1       575   17.8002
36      535     0.36146 36      9.44    0.15    535     0.77127         62.956  36      131     1       535   18.0285
37      568     0.44018 37      9.56    0.15    568     0.953528        63.499  37      132     1       568   18.4027
38      548     0.35377 38      7.19    0.15    548     0.685759        66.008  38      158     12      548   19.4196
39      520     0.37834 39      9.44    0.15    520     0.8118          67.967  39      162     1       520   18.9593
40      520     0.332   40      9.44    0.15    520     0.641729        69.55   40      165     1       520   20.8875
41      551     0.34589 41      7.19    0.11    551     0.706956        72.065  41      163     9       551   21.9415
42      575     0.35786 42      7.19    0.11    575     0.748271        74.232  42      165     4       575   22.5331
43      546     0.36689 43      11.8    0.11    546     0.834915        76.13   43      165     13      546   23.0097
44      580     0.35811 44      7.19    0.11    580     0.714989        77.65   44      165     4       580   23.438
45      562     0.35763 45      9.44    0.11    562     0.760427        79.621  45      149     14      562   23.1643
46      585     0.35713 46      7.19    0.11    585     0.773           81.252  46      153     1       585   22.7996
47      562     0.36777 47      9.44    0.11    562     0.902155        81.617  47      182     23      562   23.1934
48      541     0.32111 48      9.28    0.03    541     0.74502         80.758  48      184     21      541   22.9037
49      577     0.29725 49      9.56    0.03    577     0.724101        77.61   49      184     1       577   19.6708
50      581     0.31829 50      9.28    0.03    581     0.747149        75.991  50      159     1       581   16.6329
51      536     0.28465 51      4.96    0.03    536     0.583964        76.754  51      159     11      536   15.7339
52      549     0.30808 52      9.28    0.03    549     0.738743        77.318  52      148     26      549   15.545
53      560     0.26773 53      9.28    0.03    560     0.618881        78.243  53      163     1       560   17.3338
54      557     0.26663 54      9.28    0       557     0.658601        79.499  54      190     11      557   18.4132
55      559     0.2479  55      9.28    0       559     0.629701        81.067  55      165     22      559   20.2006
56      522     0.25453 56      9.56    0       522     0.789647        82.564  56      201     1       522   21.6264
57      587     0.19246 57      9.28    0       587     0.583503        85.063  57      201     23      587   22.9381
58      561     0.18405 58      7.07    0       561     0.595742        86.675  58      205     4       561   24.7448
59      569     0.22333 59      9.56    0       569     0.80554         87.325  59      205     1       569   26.2488
60      583     0.21742 60      8.84    0       583     0.784754        86.362  60      207     1       583   25.3222
61      564     0.15062 61      5       0       564     0.524505        86.691  61      208     1       564   27.6135
62      525     0.14335 62      7.04    0       525     0.614245        86.709  62      217     1       525   27.6245
63      523     0.14946 63      8.84    0       523     0.691799        87.278  63      245     4       523   27.5229
64      526     0.164   64      8.84    0       526     0.72042         87.719  64      217     12      526   28.7584
65      567     0.19344 65      9.56    0       567     0.812753        90.543  65      246     1       567   31.2234
66      559     0.17819 66      7.04    0       559     0.744626        93.097  66      242     1       559   32.8479
67      535     0.10082 67      8.84    0       535     0.499897        96.281  67      242     21      535   32.419
68      553     0.12062 68      9.56    0       553     0.536228        98.408  68      252     1       553   33.899
69      549     0.14278 69      8.84    0       549     0.629564        100.798 69      242     12      549   34.3296
70      570     0.14544 70      7.04    0       570     0.617385        103.693 70      258     17      570   35.8489
71      557     0.11331 71      8.84    0       557     0.585448        106.93  71      242     20      557   36.2799
72      632     0.14883 72      9.56    0       632     0.733699        107.342 72      257     20      632   38.1261
73      577     0.11349 73      4.76    0       577     0.44678         110.543 73      269     4       577   39.6906
74      557     0.11884 74      9.56    0       557     0.627329        111.382 74      269     1       557   42.0769
75      557     0.10624 75      7.04    0       557     0.475023        114.995 75      304     4       557   43.9976
76      570     0.1319  76      8.84    0       570     0.671941        117.069 76      319     24      570   46.7218
77      530     0.13645 77      8.84    0       530     0.655293        118.627 77      301     1       530   48.0943
