gen     nevals  avg     gen     max     min     nevals  std     avg     gen     max     min     nevals  std    
75      575     0.14145 75      11.18   0       575     0.913112        121.76  75      302     1       575   47.2258
76      553     0.17892 76      11.18   0       553     1.0471          122.854 76      298     4       553   48.6023
77      567     0.12773 77      8.06    0       567     0.699494        125.01  77      263     6       567   49.8068
78      542     0.10432 78      11.18   0       542     0.696592        127.062 78      263     12      542   50.6317
79      548     0.13235 79      11.18   0       548     0.810413        129.426 79      284     4       548   52.0684
80      596     0.10847 80      10.67   0       596     0.64087         127.002 80      284     4       596   52.7968
81      497     0.10492 81      11.24   0       497     0.711001        128.734 81      282     12      497   51.8519
82      549     0.16845 82      11.18   0       549     0.920584        132.004 82      279     1       549   51.9664
83      530     0.1083  83      11.23   0       530     0.710606        131.658 83      279     13      530   51.1431
84      570     0.12654 84      11.18   0       570     0.737053        134.081 84      332     1       570   52.6017
85      567     0.17821 85      11.18   0       567     0.977929        135.77  85      377     11      567   52.3617
86      535     0.10548 86      11.18   0       535     0.771906        138.321 86      377     13      535   55.104
87      519     0.13359 87      11.18   0       519     0.845349        140.522 87      377     11      519   56.8181
88      503     0.09473 88      10.67   0       503     0.637537        145.084 88      377     1       503   58.6403
89      555     0.09355 89      10.67   0       555     0.65884         146.07  89      380     11      555   59.2883
90      520     0.14965 90      11.2    0       520     0.948138        146.521 90      380     1       520   62.3383
91      526     0.14565 91      12.14   0       526     1.00557         146.438 91      379     1       526   61.2172
92      532     0.11834 92      11.24   0       532     0.836862        150.396 92      379     1       532   61.7616
93      531     0.10666 93      11.18   0       531     0.735207        150.331 93      379     11      531   63.0768
94      564     0.10588 94      11.18   0       564     0.742128        155.508 94      379     4       564   65.2266
95      513     0.09498 95      11.18   0       513     0.692523        160.974 95      383     1       513   66.0156
96      549     0.10842 96      11.18   0       549     0.814275        160.853 96      377     1       549   63.5473
97      544     0.14404 97      12.14   0       544     0.953911        161.34  97      394     1       544   63.9067
98      546     0.0924  98      11.18   0       546     0.683019        164.729 98      372     13      546   62.6101
99      534     0.10994 99      11.18   0       534     0.808299        163.994 99      370     13      534   61.2085
100     569     0.09736 100     11.18   0       569     0.743698        170.333 100     370     20      569   64.5732
101     530     0.11753 101     10.58   0       530     0.763555        171.152 101     372     11      530   63.149
102     545     0.11164 102     12.13   0       545     0.793553        173.598 102     357     9       545   63.4329
103     555     0.16034 103     11.18   0       555     1.06649         175.074 103     357     1       555   63.3661
104     548     0.13468 104     11.18   0       548     0.918805        176.41  104     393     1       548   62.7695
105     544     0.12188 105     12.22   0       544     0.896529        181.482 105     395     4       544   62.4513
106     561     0.1129  106     11.18   0       561     0.757733        182.95  106     389     12      561   61.5816
107     515     0.04331 107     8       0       515     0.342714        184.366 107     391     14      515   60.9878
108     538     0.09986 108     11.18   0       538     0.769359        185.456 108     389     1       538   61.1968
109     578     0.10359 109     11.18   0       578     0.736758        188.518 109     389     4       578   64.7485
110     525     0.08843 110     11.24   0       525     0.685467        186.981 110     434     16      525   64.2455
111     560     0.06358 111     11.18   0       560     0.471226        188.375 111     434     1       560   63.061
112     573     0.08567 112     11.18   0       573     0.639457        186.322 112     434     4       573   63.9151
113     566     0.1117  113     11.18   0       566     0.737808        189.314 113     441     1       566   62.2325
114     556     0.10857 114     11.18   0       556     0.692987        194.307 114     460     9       556   65.2014
115     548     0.12241 115     11.24   0       548     0.959886        196.032 115     443     1       548   66.3838
116     550     0.06909 116     8.01    0       550     0.505788        196.314 116     443     18      550   65.2689
117     535     0.09449 117     11.18   0       535     0.737717        199.954 117     451     1       535   67.2361
118     563     0.07859 118     10.67   0       563     0.534266        200.033 118     445     1       563   66.44
119     525     0.08609 119     8.06    0       525     0.615093        201.324 119     450     1       525   69.6685
120     551     0.05856 120     11.18   0       551     0.57601         201.585 120     452     1       551   70.8226
121     582     0.11111 121     11.42   0       582     0.770592        200.946 121     452     4       582   67.8607
122     516     0.06428 122     11.18   0       516     0.616629        204.729 122     545     13      516   64.6292
123     578     0.12043 123     11.87   0       578     0.878889        203.747 123     592     12      578   70.6663
124     567     0.10214 124     11.24   0       567     0.779803        203.186 124     452     11      567   68.7084
125     512     0.07467 125     10.67   0       512     0.576936        202.681 125     452     1       512   69.2937
126     552     0.08435 126     11.18   0       552     0.631804        203.829 126     440     18      552   68.357
127     551     0.08229 127     11.18   0       551     0.644947        201.955 127     472     9       551   68.8534
128     542     0.05127 128     11.18   0       542     0.507647        204.912 128     472     13      542   64.33
129     578     0.09107 129     11.18   0       578     0.689112        204.711 129     477     11      578   63.4502
130     520     0.06888 130     11.18   0       520     0.616142        204.851 130     471     1       520   65.295
131     571     0.05893 131     11.24   0       571     0.473958        207.009 131     473     13      571   68.0127
132     512     0.05214 132     8.06    0       512     0.399531        207.126 132     471     11      512   67.9703
133     508     0.09112 133     10.58   0       508     0.64729         202.553 133     471     11      508   67.8025
134     532     0.09035 134     11.18   0       532     0.644845        204.572 134     477     13      532   67.5427
135     528     0.09529 135     11.18   0       528     0.697621        208.29  135     479     13      528   69.5621
136     557     0.09049 136     11.18   0       557     0.758925        209.643 136     479     11      557   68.9464
137     525     0.13013 137     11.18   0       525     0.930401        208.288 137     479     4       525   73.3886
138     554     0.07539 138     8       0       554     0.488144        206.449 138     479     13      554   71.7584
139     555     0.0796  139     11.18   0       555     0.55855         210.753 139     479     12      555   70.4851
140     540     0.08992 140     11.23   0       540     0.731167        213.441 140     479     1       540   70.7132
141     562     0.0612  141     5.86    0       562     0.390507        212.072 141     479     4       562   71.9984
142     585     0.1004  142     11.18   0       585     0.803722        213.841 142     480     1       585   75.3708
143     552     0.12389 143     11.24   0       552     0.851185        214.928 143     481     11      552   75.5114
144     579     0.08317 144     11.18   0       579     0.670539        215.839 144     483     12      579   76.6803
145     558     0.06954 145     11.18   0       558     0.579078        219.104 145     483     43      558   73.148
146     565     0.09989 146     8.06    0       565     0.661269        220.919 146     477     43      565   74.6383
147     531     0.06324 147     11.18   0       531     0.563692        222.451 147     482     22      531   76.5545
148     551     0.08665 148     11.18   0       551     0.671278        225.532 148     482     1       551   76.5787
149     529     0.0943  149     11.18   0       529     0.74278         226.727 149     484     15      529   76.0308
150     558     0.09056 150     11.24   0       558     0.714019        225.244 150     484     13      558   77.3815
151     548     0.1069  151     11.18   0       548     0.812757        229.687 151     485     15      548   76.108
152     548     0.07405 152     11.18   0       548     0.539072        229.535 152     485     4       548   78.018
153     539     0.09568 153     11.18   0       539     0.676314        228.8   153     484     4       539   77.2795
154     519     0.10509 154     11.18   0       519     0.85433         228.388 154     524     13      519   77.951
155     553     0.08093 155     11.18   0       553     0.632965        229.995 155     524     1       553   74.0025
156     573     0.07923 156     8       0       573     0.598613        228.347 156     524     13      573   72.6631
157     552     0.07335 157     9.83    0       552     0.639967        229.586 157     524     13      552   73.7919
158     581     0.12298 158     11.18   0       581     0.9118          229.608 158     530     11      581   79.3905
159     540     0.10488 159     11.18   0       540     0.745862        228.937 159     526     4       540   80.7412
160     548     0.09515 160     11.18   0       548     0.74427         228.969 160     524     11      548   78.8077
161     528     0.06208 161     11.18   0       528     0.506806        232.031 161     524     11      528   79.4628
162     528     0.10387 162     11.18   0       528     0.766241        229.477 162     524     1       528   82.1532
163     546     0.07565 163     11.18   0       546     0.596063        230.761 163     526     1       546   84.4094
164     550     0.06794 164     10.58   0       550     0.540881        234.202 164     560     9       550   86.3337
165     563     0.08956 165     11.18   0       563     0.711586        234.312 165     560     13      563   85.9548
166     555     0.10903 166     11.18   0       555     0.787765        237.173 166     581     1       555   85.9234
167     562     0.07686 167     11.18   0       562     0.624287        236.126 167     581     4       562   83.0147
168     510     0.09913 168     11.18   0       510     0.702734        236.74  168     581     10      510   89.4672
169     506     0.11665 169     11.2    0       506     0.853899        235.995 169     599     11      506   89.8532
170     577     0.08324 170     11.24   0       577     0.676836        236.542 170     592     25      577   85.4568
171     542     0.0758  171     10.67   0       542     0.645145        233.604 171     594     13      542   79.7236
172     564     0.08313 172     11.24   0       564     0.666462        237.627 172     594     11      564   87.0576
173     567     0.10071 173     11.18   0       567     0.729769        232.067 173     594     11      567   89.1338
174     564     0.08887 174     11.18   0       564     0.617615        235.786 174     594     18      564   89.1541
175     574     0.12661 175     11.24   0       574     0.892016        238.769 175     598     12      574   84.5694
176     566     0.13178 176     11.18   0       566     0.976681        244.581 176     589     14      566   84.852
177     535     0.10858 177     11.18   0       535     0.820647        246.667 177     589     1       535   84.6382
178     575     0.09504 178     11.18   0       575     0.767672        244.28  178     567     1       575   81.6012
179     568     0.07501 179     11.18   0       568     0.574185        244.106 179     572     11      568   79.2318
180     524     0.09729 180     11.24   0       524     0.777472        240.154 180     562     17      524   76.5426
181     531     0.07274 181     9.73    0       531     0.543767        243.034 181     562     11      531   79.464
182     559     0.08333 182     11.18   0       559     0.702236        247.219 182     562     13      559   76.7687
183     549     0.10611 183     11.18   0       549     0.804348        245.311 183     564     19      549   79.3671
184     566     0.09551 184     11.18   0       566     0.703571        248.769 184     606     4       566   83.6016
185     547     0.09508 185     11.18   0       547     0.783971        245.765 185     565     4       547   79.8609
186     578     0.08571 186     11.18   0       578     0.627099        250.375 186     567     11      578   83.8879
187     533     0.04393 187     11.18   0       533     0.45551         252.696 187     559     12      533   80.484
188     550     0.06862 188     8       0       550     0.509682        248.052 188     612     11      550   84.1778
189     549     0.06248 189     11.18   0       549     0.589039        253.32  189     612     43      549   78.0787
190     563     0.14127 190     11.2    0       563     0.944856        255.903 190     555     13      563   78.8459
191     533     0.05986 191     8       0       533     0.493784        256.061 191     533     4       533   78.1449
192     592     0.07595 192     11.18   0       592     0.695715        253.039 192     531     14      592   80.5172
193     551     0.1049  193     11.18   0       551     0.798598        251.57  193     532     22      551   80.638
194     578     0.07536 194     11.18   0       578     0.672212        249.044 194     534     13      578   80.371
195     539     0.10982 195     11.23   0       539     0.862951        246.975 195     534     11      539   81.8628
196     566     0.1071  196     11.18   0       566     0.744319        247.088 196     538     1       566   81.9491
197     586     0.09182 197     11.23   0       586     0.767731        250.128 197     545     30      586   81.1018
198     509     0.1218  198     11.2    0       509     0.933199        247.943 198     556     4       509   84.4077
199     551     0.11818 199     11.18   0       551     0.828576        249.018 199     556     16      551   86.0566
200     501     0.0723  200     11.24   0       501     0.639932        252.237 200     546     11      501   90.2466

Best Individual:
if_then_else(gt(d, g), if_then_else(lt(a, g), 'F', 'F'), if_then_else(lt(a, g), 'A', if_then_else(gt(max(g, c), g), 'D', if_then_else(not_(lt(g, b)), 'B', 'C'))))
