gen     nevals  avg     gen     max     min     nevals  std     avg     gen     max     min     nevals  std    
0       1000    4.42966 0       12.09   0.37    1000    3.53503 6.753   0       12      4       1000    3.369571       491     2.55221 1       11.58   0.37    491     2.43778 7.027   1       23      1       491     3.68704
2       568     1.99828 2       11.13   0.37    568     2.16802 7.382   2       24      1       568     4.06842
3       535     1.9194  3       11.4    0.37    535     2.24405 7.846   3       25      1       535     4.4659 
4       544     1.65315 4       11.58   0.37    544     1.77451 8.663   4       28      1       544     4.65762
5       550     1.74851 5       11.25   0.37    550     2.129   9.3     5       32      1       550     5.01717
6       580     1.60808 6       12.09   0.37    580     2.00172 10.128  6       32      1       580     4.69315
7       539     1.39135 7       11.58   0.37    539     1.73284 10.839  7       37      1       539     4.7675 
8       566     1.33437 8       11.58   0.37    566     1.67205 11.457  8       37      1       566     5.261  
9       535     1.13612 9       11.13   0.37    535     1.39118 11.946  9       43      1       535     5.97554
10      515     0.95921 10      12.09   0.37    515     1.27632 12.927  10      45      1       515     7.22341
11      549     0.86947 11      12.09   0.22    549     1.19388 14.997  11      47      1       549     8.96465
12      584     0.8288  12      11.13   0.22    584     1.14479 16.274  12      62      1       584     9.83214
13      518     0.77921 13      11.13   0.22    518     1.039   17.518  13      70      1       518     10.8427
14      563     0.82659 14      11.13   0.2     563     1.0816  17.491  14      72      1       563     10.6639
15      614     0.77743 15      10.53   0.2     614     0.948219        19.319  15      72      1       614   11.2829
16      552     0.69449 16      10.53   0.2     552     0.910675        20.989  16      74      1       552   11.7469
17      539     0.71019 17      11.13   0.2     539     1.08396         21.845  17      74      1       539   11.79
18      595     0.72625 18      11.13   0.2     595     1.01272         22.562  18      80      4       595   11.959
19      589     0.72483 19      11.13   0.2     589     1.27752         23.308  19      78      1       589   11.5251
20      557     0.64863 20      10.53   0.05    557     1.11298         22.813  20      74      1       557   10.2895
21      575     0.60791 21      11.37   0.05    575     1.11055         22.674  21      77      1       575   9.63606
22      549     0.52139 22      11.13   0.05    549     0.826952        22.449  22      77      1       549   9.17493
23      554     0.51896 23      10.53   0.2     554     0.899453        23.056  23      76      1       554   9.35504
24      556     0.58869 24      11.13   0.05    556     1.02553         23.501  24      81      1       556   10.1373
25      539     0.58326 25      11.13   0.05    539     1.08317         23.801  25      81      1       539   10.4258
26      541     0.51391 26      11.13   0.05    541     0.874322        23.377  26      78      1       541   9.22078
27      576     0.51533 27      11.13   0.05    576     0.953854        23.434  27      69      1       576   8.49986
28      528     0.54011 28      11.13   0.05    528     1.17555         24.049  28      51      1       528   8.01003
29      535     0.4858  29      11.13   0.05    535     1.07021         24.553  29      53      1       535   8.18005
30      548     0.4437  30      11.13   0.05    548     0.903388        24.776  30      65      1       548   8.214
31      536     0.40849 31      10.49   0.05    536     0.834915        25.112  31      62      1       536   7.72654
32      534     0.45282 32      11.13   0.05    534     1.03669         24.216  32      58      1       534   8.06817
33      550     0.41555 33      10.53   0.05    550     1.03437         24.012  33      60      1       550   7.79961
34      569     0.40589 34      10.38   0.05    569     0.917257        24.14   34      70      1       569   8.09125
35      547     0.36816 35      11.77   0.05    547     0.897635        24.548  35      70      1       547   8.30865
36      561     0.43608 36      11.13   0.05    561     1.14183         24.894  36      63      1       561   8.34079
37      545     0.36505 37      10.38   0.05    545     0.827709        25.64   37      78      1       545   8.61652
38      553     0.41001 38      11.13   0.05    553     1.15225         26.515  38      62      1       553   9.6003
39      574     0.4338  39      11.13   0.05    574     1.07876         28.029  39      97      4       574   10.3317
40      557     0.44602 40      10.56   0.05    557     1.19629         29.677  40      97      1       557   11.24
41      509     0.30531 41      8.52    0.05    509     0.777968        31.637  41      97      1       509   12.0076
42      530     0.34134 42      11.13   0.05    530     0.90922         32.7    42      86      1       530   12.1627
43      526     0.2737  43      11.13   0.05    526     0.835393        33.861  43      83      1       526   12.1912
44      564     0.30467 44      11.13   0.05    564     0.799314        35.252  44      100     1       564   12.6843
45      536     0.35156 45      11.13   0.05    536     1.06834         35.968  45      101     4       536   12.6829
46      545     0.3497  46      11.13   0.05    545     1.02903         37.33   46      95      1       545   12.605
47      536     0.29991 47      11.13   0.05    536     0.969521        39.297  47      101     4       536   13.0646
48      548     0.27797 48      10.38   0.05    548     0.796325        41.132  48      91      4       548   13.4638
49      540     0.30688 49      11.13   0.03    540     1.05501         42.645  49      102     1       540   13.6913
50      529     0.25204 50      11.13   0.03    529     0.868131        44.548  50      130     1       529   14.8193
